# Supplementary data for Figure 1: Galactic Chemical Evolution model predictions
# Generated on: 2025-06-10 11:38:09
# Authors: Darío González Picos, Ignas Snellen and Sam de Regt
# Contact: picos@strw.leidenuniv.nl
#
# Data description:
# This file contains galactic chemical evolution (GCE) model predictions
# for carbon and oxygen isotope ratios as a function of metallicity.
# The models are from Romano et al. (2022) and represent different
# stellar initial mass function (IMF) assumptions.
#
# Model details:
# - GCE models from Romano et al. (2022), A&A, 660, A76
# - Two mass range scenarios for stellar nucleosynthesis:
#   * 1-8 M☉: Standard IMF truncated at 8 M☉
#   * 3-8 M☉: IMF truncated between 3-8 M☉
# - Models include contributions from AGB stars, supernovae, and novae
# - Metallicity range: -0.7 < [M/H] < +0.5 dex
#
# Physical interpretation:
# - Higher mass ranges lead to different isotope ratio evolution
# - Models predict the galactic enrichment history of isotopes
# - Useful for understanding stellar nucleosynthesis contributions
#
# Column descriptions:
# metallicity_mh: [M/H] metallicity grid for model calculations
# carbon_isotope_ratio_1-8_msun: ¹²C/¹³C for 1-8 M☉ IMF model
# oxygen_isotope_ratio_1-8_msun: ¹⁶O/¹⁸O for 1-8 M☉ IMF model
# carbon_oxygen_ratio_1-8_msun: (¹²C/¹³C)/(¹⁶O/¹⁸O) for 1-8 M☉ model
# carbon_isotope_ratio_3-8_msun: ¹²C/¹³C for 3-8 M☉ IMF model
# oxygen_isotope_ratio_3-8_msun: ¹⁶O/¹⁸O for 3-8 M☉ IMF model
# carbon_oxygen_ratio_3-8_msun: (¹²C/¹³C)/(¹⁶O/¹⁸O) for 3-8 M☉ model
#
# Units:
# - Metallicity: dex (solar-normalized logarithmic scale)
# - Isotope ratios: dimensionless
#
# References:
# - GCE models: Romano et al. (2022), A&A, 660, A76
# - Stellar nucleosynthesis: Karakas & Lugaro (2016), ApJ, 825, 26
# - Nova nucleosynthesis: José & Hernanz (1998), ApJ, 494, 680
# - Supernova yields: Kobayashi et al. (2006), ApJ, 653, 1145
#
# Notes:
# - Models assume closed-box galactic evolution
# - Each row represents a different metallicity point
# - Isotope ratios increase/decrease based on stellar mass contributions
# - Use for comparison with observational measurements
#
metallicity_mh,carbon_isotope_ratio_1-8_msun,oxygen_isotope_ratio_1-8_msun,carbon_oxygen_ratio_1-8_msun,carbon_isotope_ratio_3-8_msun,oxygen_isotope_ratio_3-8_msun,carbon_oxygen_ratio_3-8_msun
-0.49,447.55,768.05,0.58,202.39,767.96,0.26
-0.48,445.23,772.63,0.58,200.59,772.54,0.26
-0.48,442.97,777.18,0.57,198.82,777.09,0.26
-0.48,440.67,781.71,0.56,197.09,781.62,0.25
-0.48,438.42,786.16,0.56,195.41,786.07,0.25
-0.47,436.16,790.57,0.55,193.76,790.48,0.25
-0.47,433.88,794.94,0.55,192.16,794.85,0.24
-0.47,431.66,799.26,0.54,190.60,799.15,0.24
-0.47,429.41,803.53,0.53,189.06,803.43,0.24
-0.46,427.19,807.75,0.53,187.56,807.65,0.23
-0.46,424.98,811.93,0.52,186.10,811.80,0.23
-0.46,422.78,816.06,0.52,184.67,815.92,0.23
-0.46,420.61,820.13,0.51,183.26,820.02,0.22
-0.46,418.39,824.16,0.51,181.90,824.03,0.22
-0.45,416.18,828.14,0.50,180.55,828.00,0.22
-0.45,414.01,832.06,0.50,179.23,831.93,0.22
-0.45,411.81,835.93,0.49,177.94,835.78,0.21
-0.45,409.64,839.75,0.49,176.68,839.60,0.21
-0.45,407.49,843.52,0.48,175.44,843.36,0.21
-0.44,405.35,847.24,0.48,174.22,847.09,0.21
-0.44,403.21,850.90,0.47,173.03,850.74,0.20
-0.44,401.09,854.53,0.47,171.86,854.35,0.20
-0.44,398.96,858.08,0.46,170.72,857.90,0.20
-0.43,396.87,861.59,0.46,169.60,861.41,0.20
-0.43,394.78,865.04,0.46,168.50,864.88,0.19
-0.43,392.68,868.46,0.45,167.42,868.29,0.19
-0.43,390.63,871.81,0.45,166.36,871.65,0.19
-0.43,388.56,875.13,0.44,165.31,874.93,0.19
-0.42,386.52,878.38,0.44,164.30,878.18,0.19
-0.42,384.47,881.58,0.44,163.30,881.38,0.19
-0.42,382.47,884.74,0.43,162.31,884.54,0.18
-0.42,380.46,887.83,0.43,161.35,887.65,0.18
-0.42,378.45,890.89,0.42,160.40,890.69,0.18
-0.41,376.48,893.88,0.42,159.46,893.66,0.18
-0.41,374.51,896.85,0.42,158.55,896.60,0.18
-0.41,372.56,899.71,0.41,157.65,899.49,0.18
-0.41,370.66,902.58,0.41,156.78,902.35,0.17
-0.41,368.76,905.36,0.41,155.91,905.14,0.17
-0.40,366.87,908.12,0.40,155.07,907.89,0.17
-0.40,365.01,910.82,0.40,154.23,910.57,0.17
-0.40,363.17,913.46,0.40,153.41,913.19,0.17
-0.40,361.32,916.04,0.39,152.60,915.81,0.17
-0.40,359.48,918.59,0.39,151.80,918.32,0.17
-0.40,357.67,921.05,0.39,151.03,920.82,0.16
-0.39,355.86,923.50,0.39,150.27,923.25,0.16
-0.39,354.12,925.89,0.38,149.52,925.61,0.16
-0.39,352.37,928.22,0.38,148.78,927.97,0.16
-0.39,350.63,930.51,0.38,148.05,930.26,0.16
-0.39,348.91,932.75,0.37,147.34,932.47,0.16
-0.38,347.19,934.95,0.37,146.62,934.65,0.16
-0.38,345.49,937.09,0.37,145.93,936.79,0.16
-0.38,343.78,939.16,0.37,145.24,938.87,0.15
-0.38,342.06,941.18,0.36,144.57,940.87,0.15
-0.38,340.37,943.14,0.36,143.90,942.84,0.15
-0.37,338.69,945.08,0.36,143.23,944.76,0.15
-0.37,337.01,946.96,0.36,142.58,946.64,0.15
-0.37,335.34,948.80,0.35,141.93,948.46,0.15
-0.37,333.69,950.58,0.35,141.31,950.26,0.15
-0.37,332.04,952.29,0.35,140.68,951.97,0.15
-0.37,330.41,953.99,0.35,140.06,953.65,0.15
-0.36,328.79,955.62,0.34,139.45,955.26,0.15
-0.36,327.17,957.19,0.34,138.84,956.85,0.15
-0.36,325.57,958.72,0.34,138.25,958.38,0.14
-0.36,323.98,960.23,0.34,137.66,959.86,0.14
-0.36,322.39,961.68,0.34,137.09,961.31,0.14
-0.36,320.82,963.08,0.33,136.51,962.69,0.14
-0.35,319.26,964.42,0.33,135.95,964.05,0.14
-0.35,317.72,965.74,0.33,135.40,965.37,0.14
-0.35,316.18,967.01,0.33,134.84,966.63,0.14
-0.35,314.65,968.25,0.32,134.30,967.84,0.14
-0.35,313.14,969.41,0.32,133.76,969.03,0.14
-0.35,311.62,970.54,0.32,133.23,970.15,0.14
-0.34,310.13,971.65,0.32,132.71,971.24,0.14
-0.34,308.64,972.69,0.32,132.20,972.28,0.14
-0.34,307.17,973.70,0.32,131.69,973.29,0.14
-0.34,305.70,974.70,0.31,131.18,974.27,0.13
-0.34,304.25,975.63,0.31,130.69,975.20,0.13
-0.34,302.80,976.52,0.31,130.19,976.09,0.13
-0.33,301.38,977.37,0.31,129.70,976.94,0.13
-0.33,299.95,978.19,0.31,129.23,977.74,0.13
-0.33,298.54,978.97,0.30,128.75,978.52,0.13
-0.33,297.14,979.73,0.30,128.28,979.25,0.13
-0.33,295.74,980.42,0.30,127.82,979.95,0.13
-0.33,294.38,981.10,0.30,127.36,980.62,0.13
-0.32,293.01,981.72,0.30,126.91,981.25,0.13
-0.32,291.64,982.33,0.30,126.46,981.85,0.13
-0.32,290.29,982.89,0.30,126.01,982.42,0.13
-0.32,288.94,983.41,0.29,125.57,982.94,0.13
-0.32,287.60,983.91,0.29,125.13,983.44,0.13
-0.32,286.26,984.39,0.29,124.70,983.87,0.13
-0.32,284.94,984.82,0.29,124.28,984.30,0.13
-0.31,283.63,985.21,0.29,123.85,984.69,0.13
-0.31,282.33,985.60,0.29,123.43,985.06,0.13
-0.31,281.04,985.92,0.29,123.02,985.39,0.12
-0.31,279.76,986.23,0.28,122.60,985.69,0.12
-0.31,278.49,986.49,0.28,122.20,985.95,0.12
-0.31,277.23,986.73,0.28,121.80,986.19,0.12
-0.30,275.98,986.95,0.28,121.41,986.41,0.12
-0.30,274.75,987.12,0.28,121.02,986.59,0.12
-0.30,273.53,987.30,0.28,120.63,986.75,0.12
-0.30,272.32,987.41,0.28,120.25,986.88,0.12
-0.30,271.12,987.52,0.27,119.87,986.97,0.12
-0.30,269.91,987.59,0.27,119.50,987.02,0.12
-0.30,268.71,987.62,0.27,119.12,987.05,0.12
-0.29,267.52,987.63,0.27,118.75,987.06,0.12
-0.29,266.35,987.62,0.27,118.39,987.04,0.12
-0.29,265.17,987.56,0.27,118.03,986.99,0.12
-0.29,264.02,987.51,0.27,117.66,986.89,0.12
-0.29,262.83,987.39,0.27,117.30,986.80,0.12
-0.29,261.68,987.27,0.27,116.94,986.66,0.12
-0.29,260.54,987.12,0.26,116.59,986.50,0.12
-0.28,259.39,986.94,0.26,116.25,986.33,0.12
-0.28,258.26,986.72,0.26,115.90,986.11,0.12
-0.28,257.13,986.48,0.26,115.56,985.89,0.12
-0.28,256.03,986.26,0.26,115.23,985.64,0.12
-0.28,254.92,985.96,0.26,114.90,985.34,0.12
-0.28,253.84,985.67,0.26,114.57,985.04,0.12
-0.28,252.75,985.35,0.26,114.24,984.73,0.12
-0.27,251.68,984.99,0.26,113.92,984.37,0.12
-0.27,250.63,984.64,0.25,113.61,983.99,0.12
-0.27,249.57,984.24,0.25,113.29,983.62,0.12
-0.27,248.54,983.85,0.25,112.98,983.20,0.11
-0.27,247.52,983.43,0.25,112.67,982.77,0.11
-0.27,246.50,982.96,0.25,112.37,982.30,0.11
-0.27,245.49,982.49,0.25,112.07,981.83,0.11
-0.27,244.49,982.00,0.25,111.77,981.34,0.11
-0.26,243.51,981.49,0.25,111.48,980.83,0.11
-0.26,242.53,980.94,0.25,111.19,980.28,0.11
-0.26,241.57,980.41,0.25,110.90,979.74,0.11
-0.26,240.63,979.85,0.25,110.62,979.17,0.11
-0.26,239.68,979.24,0.24,110.35,978.59,0.11
-0.26,238.77,978.66,0.24,110.07,977.99,0.11
-0.26,237.85,978.04,0.24,109.80,977.38,0.11
-0.25,236.95,977.41,0.24,109.54,976.74,0.11
-0.25,236.06,976.75,0.24,109.28,976.09,0.11
-0.25,235.19,976.10,0.24,109.01,975.42,0.11
-0.25,234.33,975.41,0.24,108.76,974.75,0.11
-0.25,233.47,974.73,0.24,108.50,974.04,0.11
-0.25,232.64,974.02,0.24,108.26,973.34,0.11
-0.25,231.80,973.30,0.24,108.02,972.60,0.11
-0.25,230.98,972.54,0.24,107.77,971.86,0.11
-0.24,230.17,971.81,0.24,107.53,971.11,0.11
-0.24,229.36,971.04,0.24,107.30,970.34,0.11
-0.24,228.58,970.27,0.24,107.06,969.57,0.11
-0.24,227.79,969.48,0.23,106.84,968.79,0.11
-0.24,227.02,968.66,0.23,106.61,967.97,0.11
-0.24,226.26,967.84,0.23,106.39,967.17,0.11
-0.24,225.51,967.02,0.23,106.17,966.33,0.11
-0.24,224.77,966.19,0.23,105.95,965.48,0.11
-0.23,224.03,965.32,0.23,105.73,964.62,0.11
-0.23,223.31,964.46,0.23,105.52,963.77,0.11
-0.23,222.59,963.58,0.23,105.31,962.89,0.11
-0.23,221.88,962.72,0.23,105.11,962.00,0.11
-0.23,221.19,961.82,0.23,104.91,961.11,0.11
-0.23,220.51,960.91,0.23,104.70,960.22,0.11
-0.23,219.82,960.01,0.23,104.50,959.31,0.11
-0.23,219.15,959.09,0.23,104.31,958.37,0.11
-0.22,218.49,958.15,0.23,104.11,957.44,0.11
-0.22,217.82,957.22,0.23,103.92,956.51,0.11
-0.22,217.17,956.27,0.23,103.73,955.56,0.11
-0.22,216.53,955.32,0.23,103.54,954.62,0.11
-0.22,215.90,954.36,0.23,103.35,953.64,0.11
-0.22,215.26,953.41,0.23,103.17,952.69,0.11
-0.22,214.64,952.42,0.23,102.98,951.71,0.11
-0.22,214.03,951.45,0.22,102.81,950.73,0.11
-0.21,213.43,950.46,0.22,102.63,949.73,0.11
-0.21,212.82,949.46,0.22,102.45,948.75,0.11
-0.21,212.23,948.47,0.22,102.28,947.76,0.11
-0.21,211.64,947.46,0.22,102.11,946.77,0.11
-0.21,211.06,946.45,0.22,101.94,945.76,0.11
-0.21,210.48,945.45,0.22,101.77,944.75,0.11
-0.21,209.91,944.44,0.22,101.61,943.73,0.11
-0.21,209.34,943.42,0.22,101.45,942.72,0.11
-0.20,208.79,942.40,0.22,101.28,941.69,0.11
-0.20,208.23,941.39,0.22,101.12,940.67,0.11
-0.20,207.69,940.35,0.22,100.97,939.64,0.11
-0.20,207.14,939.32,0.22,100.82,938.60,0.11
-0.20,206.61,938.29,0.22,100.65,937.57,0.11
-0.20,206.09,937.25,0.22,100.50,936.51,0.11
-0.20,205.57,936.20,0.22,100.36,935.49,0.11
-0.20,205.04,935.17,0.22,100.21,934.44,0.11
-0.20,204.53,934.12,0.22,100.06,933.37,0.11
-0.19,204.03,933.05,0.22,99.92,932.35,0.11
-0.19,203.51,931.99,0.22,99.77,931.27,0.11
-0.19,203.03,930.95,0.22,99.63,930.21,0.11
-0.19,202.53,929.86,0.22,99.49,929.16,0.11
-0.19,202.04,928.82,0.22,99.35,928.10,0.11
-0.19,201.56,927.74,0.22,99.22,927.02,0.11
-0.19,201.07,926.66,0.22,99.08,925.95,0.11
-0.19,200.62,925.59,0.22,98.95,924.87,0.11
-0.19,200.15,924.52,0.22,98.82,923.79,0.11
-0.18,199.69,923.42,0.22,98.69,922.71,0.11
-0.18,199.23,922.34,0.22,98.57,921.64,0.11
-0.18,198.78,921.25,0.22,98.44,920.55,0.11
-0.18,198.33,920.16,0.22,98.31,919.42,0.11
-0.18,197.89,919.08,0.22,98.19,918.34,0.11
-0.18,197.45,917.97,0.22,98.07,917.23,0.11
-0.18,197.02,916.88,0.21,97.95,916.14,0.11
-0.18,196.59,915.77,0.21,97.84,915.04,0.11
-0.18,196.18,914.65,0.21,97.72,913.90,0.11
-0.17,195.76,913.52,0.21,97.60,912.80,0.11
-0.17,195.34,912.42,0.21,97.49,911.70,0.11
-0.17,194.94,911.30,0.21,97.38,910.57,0.11
-0.17,194.52,910.18,0.21,97.27,909.46,0.11
-0.17,194.13,909.07,0.21,97.16,908.35,0.11
-0.17,193.74,907.96,0.21,97.05,907.22,0.11
-0.17,193.33,906.84,0.21,96.94,906.10,0.11
-0.17,192.95,905.72,0.21,96.84,904.98,0.11
-0.17,192.56,904.57,0.21,96.73,903.85,0.11
-0.16,192.18,903.46,0.21,96.63,902.71,0.11
-0.16,191.80,902.34,0.21,96.54,901.61,0.11
-0.16,191.43,901.20,0.21,96.43,900.47,0.11
-0.16,191.05,900.05,0.21,96.34,899.33,0.11
-0.16,190.68,898.94,0.21,96.25,898.22,0.11
-0.16,190.31,897.81,0.21,96.15,897.08,0.11
-0.16,189.96,896.67,0.21,96.05,895.95,0.11
-0.16,189.58,895.54,0.21,95.96,894.82,0.11
-0.16,189.24,894.40,0.21,95.87,893.68,0.11
-0.16,188.89,893.26,0.21,95.79,892.55,0.11
-0.15,188.54,892.15,0.21,95.70,891.40,0.11
-0.15,188.19,891.00,0.21,95.61,890.27,0.11
-0.15,187.85,889.88,0.21,95.53,889.14,0.11
-0.15,187.51,888.73,0.21,95.44,888.00,0.11
-0.15,187.16,887.59,0.21,95.35,886.85,0.11
-0.15,186.84,886.45,0.21,95.27,885.73,0.11
-0.15,186.50,885.31,0.21,95.19,884.59,0.11
-0.15,186.17,884.18,0.21,95.11,883.44,0.11
-0.15,185.84,883.01,0.21,95.04,882.30,0.11
-0.15,185.52,881.89,0.21,94.95,881.16,0.11
-0.14,185.20,880.73,0.21,94.88,880.01,0.11
-0.14,184.88,879.60,0.21,94.80,878.88,0.11
-0.14,184.56,878.46,0.21,94.73,877.73,0.11
-0.14,184.25,877.30,0.21,94.66,876.59,0.11
-0.14,183.94,876.16,0.21,94.59,875.44,0.11
-0.14,183.63,875.02,0.21,94.51,874.30,0.11
-0.14,183.32,873.88,0.21,94.44,873.14,0.11
-0.14,183.03,872.72,0.21,94.38,872.00,0.11
-0.14,182.73,871.55,0.21,94.31,870.85,0.11
-0.14,182.43,870.43,0.21,94.24,869.70,0.11
-0.13,182.13,869.27,0.21,94.18,868.54,0.11
-0.13,181.85,868.12,0.21,94.12,867.39,0.11
-0.13,181.56,866.97,0.21,94.05,866.24,0.11
-0.13,181.27,865.82,0.21,93.99,865.10,0.11
-0.13,180.99,864.67,0.21,93.93,863.95,0.11
-0.13,180.70,863.52,0.21,93.87,862.82,0.11
-0.13,180.42,862.37,0.21,93.81,861.66,0.11
-0.13,180.14,861.22,0.21,93.75,860.52,0.11
-0.13,179.87,860.07,0.21,93.70,859.37,0.11
-0.13,179.59,858.92,0.21,93.64,858.21,0.11
-0.12,179.32,857.78,0.21,93.59,857.06,0.11
-0.12,179.06,856.64,0.21,93.53,855.91,0.11
-0.12,178.81,855.47,0.21,93.48,854.76,0.11
-0.12,178.53,854.32,0.21,93.43,853.62,0.11
-0.12,178.28,853.18,0.21,93.38,852.48,0.11
-0.12,178.03,852.03,0.21,93.33,851.33,0.11
-0.12,177.79,850.88,0.21,93.28,850.18,0.11
-0.12,177.53,849.72,0.21,93.23,849.04,0.11
-0.12,177.28,848.59,0.21,93.19,847.89,0.11
-0.12,177.04,847.44,0.21,93.14,846.74,0.11
-0.12,176.80,846.29,0.21,93.10,845.61,0.11
-0.11,176.55,845.15,0.21,93.05,844.47,0.11
-0.11,176.30,844.01,0.21,93.01,843.33,0.11
-0.11,176.05,842.87,0.21,92.97,842.18,0.11
-0.11,175.81,841.74,0.21,92.93,841.04,0.11
-0.11,175.56,840.60,0.21,92.89,839.90,0.11
-0.11,175.29,839.45,0.21,92.85,838.75,0.11
-0.11,175.05,838.31,0.21,92.81,837.61,0.11
-0.11,174.81,837.18,0.21,92.78,836.49,0.11
-0.11,174.54,836.05,0.21,92.74,835.35,0.11
-0.11,174.30,834.90,0.21,92.71,834.22,0.11
-0.11,174.04,833.77,0.21,92.67,833.08,0.11
-0.10,173.81,832.63,0.21,92.64,831.96,0.11
-0.10,173.55,831.50,0.21,92.60,830.83,0.11
-0.10,173.30,830.39,0.21,92.57,829.68,0.11
-0.10,173.05,829.24,0.21,92.54,828.56,0.11
-0.10,172.81,828.12,0.21,92.51,827.44,0.11
-0.10,172.55,827.01,0.21,92.48,826.31,0.11
-0.10,172.30,825.88,0.21,92.45,825.20,0.11
-0.10,172.05,824.76,0.21,92.42,824.08,0.11
-0.10,171.81,823.64,0.21,92.39,822.96,0.11
-0.10,171.56,822.52,0.21,92.37,821.83,0.11
-0.10,171.29,821.40,0.21,92.34,820.72,0.11
-0.09,171.05,820.29,0.21,92.31,819.62,0.11
-0.09,170.80,819.17,0.21,92.29,818.50,0.11
-0.09,170.54,818.07,0.21,92.26,817.39,0.11
-0.09,170.30,816.97,0.21,92.24,816.30,0.11
-0.09,170.04,815.88,0.21,92.22,815.20,0.11
-0.09,169.80,814.76,0.21,92.19,814.09,0.11
-0.09,169.54,813.66,0.21,92.17,813.00,0.11
-0.09,169.30,812.55,0.21,92.15,811.89,0.11
-0.09,169.05,811.48,0.21,92.13,810.81,0.11
-0.09,168.80,810.38,0.21,92.11,809.71,0.11
-0.09,168.54,809.28,0.21,92.09,808.62,0.11
-0.09,168.29,808.21,0.21,92.07,807.53,0.11
-0.08,168.04,807.12,0.21,92.05,806.46,0.11
-0.08,167.79,806.03,0.21,92.03,805.38,0.11
-0.08,167.54,804.95,0.21,92.02,804.29,0.11
-0.08,167.29,803.88,0.21,92.00,803.21,0.11
-0.08,167.04,802.79,0.21,91.98,802.14,0.11
-0.08,166.79,801.72,0.21,91.96,801.07,0.11
-0.08,166.54,800.65,0.21,91.95,799.99,0.11
-0.08,166.29,799.58,0.21,91.93,798.93,0.12
-0.08,166.04,798.52,0.21,91.92,797.88,0.12
-0.08,165.80,797.45,0.21,91.91,796.81,0.12
-0.08,165.54,796.41,0.21,91.89,795.74,0.12
-0.08,165.29,795.35,0.21,91.88,794.71,0.12
-0.07,165.04,794.29,0.21,91.87,793.65,0.12
-0.07,164.79,793.25,0.21,91.86,792.60,0.12
-0.07,164.54,792.20,0.21,91.84,791.55,0.12
-0.07,164.29,791.17,0.21,91.83,790.52,0.12
-0.07,164.04,790.12,0.21,91.83,789.48,0.12
-0.07,163.79,789.08,0.21,91.82,788.44,0.12
-0.07,163.55,788.06,0.21,91.81,787.41,0.12
-0.07,163.30,787.02,0.21,91.80,786.38,0.12
-0.07,163.05,785.98,0.21,91.79,785.35,0.12
-0.07,162.79,784.97,0.21,91.78,784.33,0.12
-0.07,162.55,783.94,0.21,91.77,783.31,0.12
-0.07,162.30,782.91,0.21,91.77,782.28,0.12
-0.06,162.05,781.91,0.21,91.77,781.27,0.12
-0.06,161.80,780.88,0.21,91.76,780.26,0.12
-0.06,161.55,779.87,0.21,91.76,779.25,0.12
-0.06,161.31,778.86,0.21,91.75,778.24,0.12
-0.06,161.06,777.86,0.21,91.75,777.23,0.12
-0.06,160.80,776.84,0.21,91.74,776.23,0.12
-0.06,160.56,775.84,0.21,91.74,775.22,0.12
-0.06,160.32,774.84,0.21,91.74,774.22,0.12
-0.06,160.07,773.85,0.21,91.73,773.23,0.12
-0.06,159.82,772.86,0.21,91.72,772.24,0.12
-0.06,159.58,771.86,0.21,91.73,771.25,0.12
-0.06,159.33,770.88,0.21,91.72,770.26,0.12
-0.06,159.07,769.89,0.21,91.71,769.27,0.12
